sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
282,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
283,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
284,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
285,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
286,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
287,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
288,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
289,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
290,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
291,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
292,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
293,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
294,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
295,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
296,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
297,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
298,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
299,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
300,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
301,1048576,17655808,17609728,17446912,16812032,14498816,7977984,759808,-18432,-7168,-4608
